iter	Passed	Remaining
0	56	56140
1	160	80145
2	232	77158
3	363	90614
4	494	98491
5	571	94629
6	766	108715
7	849	105397
8	986	108580
9	1095	108425
10	1264	113682
11	1353	111423
12	1476	112096
13	1623	114338
14	1759	115545
15	1865	114707
16	2047	118408
17	2108	115036
18	2203	113792
19	2303	112895
20	2377	110847
21	2504	111316
22	2579	109558
23	2635	107191
24	2757	107537
25	2867	107413
26	2936	105811
27	2977	103361
28	3017	101037
29	3133	101304
30	3160	98792
31	3196	96696
32	3247	95156
33	3373	95850
34	3405	93890
35	3454	92491
36	3487	90764
37	3521	89152
38	3615	89097
39	3672	88150
40	3719	86994
41	3763	85837
42	3797	84506
43	3954	85924
44	4000	84903
45	4041	83818
46	4085	82830
47	4208	83474
48	4266	82803
49	4310	81896
50	4340	80769
51	4381	79881
52	4469	79867
53	4524	79264
54	4558	78315
55	4595	77466
56	4709	77920
57	4752	77191
58	4791	76422
59	4832	75710
60	4883	75171
61	4990	75496
62	5023	74713
63	5069	74138
64	5112	73544
65	5180	73316
66	5278	73505
67	5354	73386
68	5397	72829
69	5526	73427
70	5611	73428
71	5793	74666
72	5896	74874
73	6072	75989
74	6194	76404
75	6279	76344
76	6390	76599
77	6454	76300
78	6624	77225
79	6683	76864
80	6795	77101
81	6927	77549
82	6978	77097
83	7112	77563
84	7229	77826
85	7364	78273
86	7424	77914
87	7543	78176
88	7663	78444
89	7739	78259
90	7841	78329
91	7916	78132
92	7995	77979
93	8088	77963
94	8163	77766
95	8198	77205
96	8243	76741
97	8271	76131
98	8343	75938
99	8425	75828
100	8457	75279
101	8514	74965
102	8610	74983
103	8657	74585
104	8700	74157
105	8756	73852
106	8807	73506
107	8910	73596
108	8956	73213
109	8982	72680
110	9005	72121
111	9045	71714
112	9079	71268
113	9163	71217
114	9195	70765
115	9232	70357
116	9285	70080
117	9408	70321
118	9540	70634
119	9701	71141
120	9756	70872
121	9791	70465
122	9838	70146
123	9878	69786
124	10036	70252
125	10083	69946
126	10152	69789
127	10209	69554
128	10313	69637
129	10373	69423
130	10410	69061
131	10471	68860
132	10605	69137
133	10644	68794
134	10730	68754
135	10788	68540
136	10841	68295
137	10907	68132
138	10951	67836
139	10986	67491
140	11007	67058
141	11095	67039
142	11157	66866
143	11200	66582
144	11243	66298
145	11260	65869
146	11340	65806
147	11375	65486
148	11425	65255
149	11459	64939
150	11580	65111
151	11648	64983
152	11670	64609
153	11698	64266
154	11734	63973
155	11759	63623
156	11796	63341
157	11862	63215
158	12022	63588
159	12273	64434
160	12378	64504
161	12453	64419
162	12543	64408
163	12640	64433
164	12726	64403
165	12794	64282
166	12981	64749
167	13063	64695
168	13141	64617
169	13214	64516
170	13278	64372
171	13345	64245
172	13443	64265
173	13476	63974
174	13511	63698
175	13562	63498
176	13590	63191
177	13760	63546
178	13794	63268
179	13835	63028
180	13885	62830
181	13947	62685
182	14009	62545
183	14044	62284
184	14077	62017
185	14108	61745
186	14176	61634
187	14271	61639
188	14321	61455
189	14376	61288
190	14449	61201
191	14515	61086
192	14548	60833
193	14573	60546
194	14616	60340
195	14640	60054
196	14686	59862
197	14808	59983
198	14899	59970
199	14938	59752
200	15083	59960
201	15170	59932
202	15255	59896
203	15361	59938
204	15476	60019
205	15558	59966
206	15635	59898
207	15689	59740
208	15750	59609
209	15893	59789
210	15958	59674
211	16041	59625
212	16108	59516
213	16145	59299
214	16185	59096
215	16212	58845
216	16241	58602
217	16281	58404
218	16391	58457
219	16421	58222
220	16451	57989
221	16491	57796
222	16517	57551
223	16583	57451
224	16612	57221
225	16657	57046
226	16682	56809
227	16703	56558
228	16734	56342
229	16767	56133
230	16805	55944
231	16885	55895
232	16908	55659
233	16939	55450
234	16963	55220
235	16990	55002
236	17053	54903
237	17148	54902
238	17179	54700
239	17224	54543
240	17255	54343
241	17411	54537
242	17480	54455
243	17535	54330
244	17579	54175
245	17634	54050
246	17668	53864
247	17726	53752
248	17926	54068
249	17993	53980
250	18039	53832
251	18172	53939
252	18223	53806
253	18279	53686
254	18473	53971
255	18558	53936
256	18605	53790
257	18766	53970
258	18843	53911
259	18916	53838
260	19017	53846
261	19075	53731
262	19134	53619
263	19314	53846
264	19420	53863
265	19545	53933
266	19641	53921
267	19721	53865
268	19801	53808
269	19867	53715
270	20031	53885
271	20100	53797
272	20161	53689
273	20202	53528
274	20245	53374
275	20282	53205
276	20314	53022
277	20358	52874
278	20379	52666
279	20414	52494
280	20457	52344
281	20553	52330
282	20584	52151
283	20652	52066
284	20756	52074
285	20875	52115
286	20969	52093
287	21146	52279
288	21251	52283
289	21362	52302
290	21478	52331
291	21557	52269
292	21641	52220
293	21703	52118
294	21765	52015
295	21836	51935
296	21911	51863
297	21963	51739
298	22000	51579
299	22024	51391
300	22065	51241
301	22111	51104
302	22161	50979
303	22188	50800
304	22209	50608
305	22266	50500
306	22287	50310
307	22338	50188
308	22395	50080
309	22428	49921
310	22458	49755
311	22480	49572
312	22510	49408
313	22554	49275
314	22648	49250
315	22684	49101
316	22724	48960
317	22751	48794
318	22793	48659
319	22952	48774
320	23003	48658
321	23084	48607
322	23200	48628
323	23249	48507
324	23303	48399
325	23428	48437
326	23498	48362
327	23530	48209
328	23578	48087
329	23698	48115
330	23775	48054
331	23811	47909
332	23841	47755
333	23885	47627
334	24032	47706
335	24072	47571
336	24141	47495
337	24244	47484
338	24286	47354
339	24346	47261
340	24446	47244
341	24542	47218
342	24581	47084
343	24671	47047
344	24756	47001
345	24808	46891
346	24845	46754
347	24882	46619
348	24947	46536
349	25015	46457
350	25078	46370
351	25122	46247
352	25281	46337
353	25392	46338
354	25444	46229
355	25501	46131
356	25548	46015
357	25590	45890
358	25664	45823
359	25765	45805
360	25847	45752
361	25878	45608
362	25912	45472
363	25955	45351
364	25994	45223
365	26109	45228
366	26178	45152
367	26213	45019
368	26254	44896
369	26351	44868
370	26410	44777
371	26485	44711
372	26703	44888
373	26785	44833
374	26944	44906
375	26999	44808
376	27105	44791
377	27167	44704
378	27199	44567
379	27235	44437
380	27264	44296
381	27292	44153
382	27372	44095
383	27468	44063
384	27519	43959
385	27586	43880
386	27685	43852
387	27718	43721
388	27738	43569
389	27763	43424
390	27822	43334
391	27947	43346
392	28050	43325
393	28151	43298
394	28288	43327
395	28324	43201
396	28383	43111
397	28493	43097
398	28573	43039
399	28643	42964
400	28744	42937
401	28815	42865
402	28847	42734
403	28892	42623
404	29102	42755
405	29184	42698
406	29275	42654
407	29351	42588
408	29413	42501
409	29621	42626
410	29682	42538
411	29743	42448
412	29886	42477
413	29978	42433
414	30062	42377
415	30128	42295
416	30182	42198
417	30237	42100
418	30354	42090
419	30447	42045
420	30468	41903
421	30506	41783
422	30580	41714
423	30623	41601
424	30656	41477
425	30673	41330
426	30726	41232
427	30762	41112
428	30822	41024
