iter	Passed	Remaining
0	71	71861
1	73	36864
2	77	25903
3	96	24109
4	101	20240
5	105	17437
6	106	15154
7	118	14634
8	122	13470
9	135	13384
10	151	13661
11	170	14031
12	175	13295
13	183	12900
14	193	12724
15	203	12491
16	223	12938
17	227	12437
18	250	12942
19	256	12579
20	260	12129
21	270	12037
22	280	11913
23	283	11549
24	288	11263
25	307	11530
26	309	11165
27	313	10885
28	315	10557
29	328	10614
30	333	10437
31	339	10274
32	344	10090
33	367	10436
34	369	10192
35	374	10034
36	391	10181
37	394	9992
38	401	9885
39	421	10107
40	425	9941
41	436	9962
42	457	10189
43	459	9994
44	464	9855
45	467	9690
46	489	9931
47	493	9779
48	510	9906
49	514	9779
50	524	9757
51	532	9710
52	555	9925
53	572	10034
54	579	9962
55	583	9835
56	605	10023
57	609	9905
58	616	9838
59	637	9994
60	642	9889
61	650	9837
62	664	9877
63	669	9796
64	673	9681
65	683	9669
66	690	9620
67	693	9499
68	708	9556
69	738	9815
70	742	9709
71	754	9722
72	757	9620
73	759	9507
74	765	9439
75	769	9350
76	787	9442
77	791	9350
78	796	9289
79	861	9911
80	921	10460
81	926	10376
82	938	10372
83	943	10287
84	951	10241
85	980	10415
86	983	10324
87	986	10228
88	1007	10317
89	1010	10214
90	1032	10310
91	1041	10280
92	1052	10267
93	1065	10272
94	1073	10228
95	1076	10134
96	1083	10083
97	1098	10115
98	1102	10029
99	1104	9939
100	1108	9865
101	1112	9791
102	1127	9814
103	1134	9778
104	1167	9948
105	1184	9992
106	1191	9941
107	1201	9920
108	1205	9850
109	1221	9882
110	1224	9805
111	1227	9732
112	1234	9687
113	1245	9681
114	1249	9617
115	1255	9566
116	1258	9499
117	1272	9511
118	1280	9479
119	1294	9491
120	1297	9428
121	1299	9351
122	1302	9288
123	1305	9222
124	1349	9445
125	1390	9644
126	1412	9707
127	1416	9650
128	1446	9765
129	1462	9786
130	1467	9736
131	1470	9671
132	1476	9625
133	1482	9583
134	1490	9552
135	1495	9500
136	1498	9441
137	1502	9387
138	1509	9351
139	1520	9343
140	1523	9282
141	1529	9239
142	1531	9181
143	1553	9236
144	1563	9219
145	1568	9174
146	1584	9193
147	1589	9151
148	1595	9111
149	1611	9129
150	1614	9075
151	1621	9045
152	1626	9006
153	1630	8955
154	1634	8909
155	1657	8969
156	1663	8931
157	1666	8879
158	1673	8849
159	1685	8850
160	1688	8800
161	1706	8827
162	1710	8783
163	1716	8748
164	1734	8775
165	1759	8838
166	1792	8941
167	1795	8891
168	1814	8922
169	1817	8875
170	1820	8823
171	1831	8816
172	1835	8772
173	1840	8734
174	1842	8687
175	1851	8666
176	1865	8676
177	1872	8647
178	1875	8602
179	1879	8559
180	1897	8587
181	1903	8554
182	1908	8518
183	1936	8587
184	1968	8673
185	1975	8645
186	1978	8602
187	1986	8580
188	2010	8628
189	2015	8592
190	2039	8636
191	2042	8595
192	2048	8563
193	2061	8564
194	2065	8528
195	2068	8486
196	2072	8446
197	2087	8456
198	2090	8414
199	2096	8387
200	2111	8392
201	2118	8370
202	2123	8337
203	2130	8311
204	2132	8269
205	2134	8228
206	2142	8206
207	2149	8185
208	2160	8176
209	2179	8200
210	2182	8160
211	2184	8120
212	2186	8080
213	2191	8049
214	2196	8019
215	2199	7985
216	2211	7980
217	2244	8051
218	2257	8050
219	2262	8020
220	2288	8066
221	2292	8033
222	2315	8067
223	2320	8038
224	2324	8007
225	2335	7998
226	2342	7976
227	2365	8009
228	2371	7984
229	2381	7972
230	2398	7985
231	2404	7958
232	2406	7923
233	2410	7891
234	2422	7885
235	2428	7862
236	2431	7829
237	2435	7796
238	2451	7805
239	2461	7794
240	2465	7765
241	2478	7763
242	2484	7738
243	2488	7709
244	2491	7676
245	2496	7650
246	2498	7617
247	2521	7644
248	2529	7628
249	2531	7594
250	2543	7588
251	2550	7570
252	2553	7539
253	2574	7561
254	2602	7603
255	2622	7622
256	2627	7597
257	2631	7567
258	2666	7627
259	2670	7600
260	2676	7578
261	2687	7568
262	2712	7600
263	2741	7641
264	2749	7626
265	2769	7642
266	2779	7629
267	2789	7619
268	2792	7589
269	2795	7557
270	2805	7548
271	2810	7523
272	2818	7506
273	2822	7478
274	2850	7515
275	2867	7522
276	2871	7494
277	2903	7541
278	2917	7539
279	2924	7519
280	2934	7507
281	2947	7505
282	2962	7504
283	2965	7476
284	2967	7445
285	2970	7414
286	2974	7390
287	2977	7361
288	2986	7347
289	2997	7339
290	3001	7312
291	3005	7286
292	3025	7300
293	3029	7273
294	3030	7242
295	3035	7219
296	3037	7190
297	3056	7201
298	3060	7175
299	3064	7149
300	3069	7127
301	3089	7139
302	3092	7113
303	3096	7088
304	3125	7122
305	3150	7145
306	3157	7127
307	3160	7100
308	3180	7112
309	3200	7122
310	3209	7109
311	3221	7103
312	3224	7077
313	3244	7087
314	3255	7079
315	3259	7054
316	3270	7047
317	3298	7074
318	3302	7050
319	3305	7024
320	3323	7029
321	3325	7003
322	3332	6985
323	3337	6964
324	3342	6941
325	3344	6915
326	3355	6905
327	3358	6880
328	3363	6860
329	3365	6833
330	3372	6816
331	3376	6792
332	3379	6769
333	3384	6748
334	3393	6736
335	3398	6716
336	3409	6707
337	3415	6688
338	3417	6663
339	3420	6640
340	3423	6616
341	3444	6628
342	3473	6652
343	3484	6644
344	3488	6622
345	3508	6632
346	3533	6649
347	3537	6627
348	3548	6618
349	3558	6607
350	3572	6604
351	3576	6584
352	3592	6585
353	3595	6562
354	3610	6560
355	3618	6545
356	3620	6521
357	3627	6505
358	3631	6483
359	3640	6471
360	3653	6467
361	3673	6474
362	3684	6465
363	3692	6452
364	3704	6444
365	3707	6422
366	3712	6403
367	3715	6380
368	3722	6365
369	3729	6349
370	3732	6327
371	3737	6309
372	3744	6293
373	3748	6273
